Epoch,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,G14,G15,G16,G17,G18,G19,G20,G21,G22,G23,G24,G25,G26,G27,G28,G29,G30,G31,G32,C11,C12,C14,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C32,C33,C34,C35,C36,C37,C41,C42,C06,C07,C08,C09,C10,C13,C38,C39
1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
301,14.8532224344321,13.1949064611799,NaN,NaN,NaN,NaN,13.4653541694313,NaN,10.1810784737197,NaN,NaN,NaN,11.6803772366903,NaN,NaN,10.4675818677891,NaN,10.6426663457649,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.70010868774273,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601,15.4821903453202,13.7761945801007,NaN,NaN,NaN,NaN,14.3962641521499,NaN,NaN,NaN,NaN,NaN,12.1365373127934,NaN,NaN,11.124218211875,NaN,11.5024402136433,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.39781106174252,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
901,16.1071309127833,14.2128280051417,NaN,NaN,NaN,NaN,15.1049252519099,NaN,NaN,NaN,NaN,NaN,12.5543263655209,NaN,NaN,11.883527832271,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.21225521443485,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1201,16.7606144226321,14.7434433768486,22.2100102186773,NaN,NaN,NaN,15.5586832204737,NaN,NaN,NaN,NaN,NaN,13.1690958593838,NaN,NaN,12.495201832721,NaN,12.7080204400186,NaN,NaN,12.4564528147476,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.8707784940704,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1501,16.8135107877443,15.0726102398136,22.3783274430322,NaN,NaN,14.6714805341006,16.2255591758987,NaN,NaN,NaN,NaN,NaN,13.9781440700931,NaN,NaN,13.0312717087992,NaN,13.518290179803,NaN,NaN,12.8103182605091,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.3799396825571,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1801,17.2501963042014,15.5065041213095,22.7658752049098,NaN,NaN,15.8185734212628,16.9319970341006,NaN,NaN,NaN,NaN,NaN,14.9283506424145,NaN,NaN,13.5003288171746,NaN,14.2388334444766,NaN,NaN,13.3193361027601,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.7698569368913,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2101,17.1772721301051,15.9366882365787,23.3910152711358,NaN,NaN,16.5986089027169,17.6509147908127,NaN,NaN,NaN,NaN,NaN,15.3746873808546,NaN,NaN,13.8817233956502,NaN,15.0110966690289,NaN,NaN,13.9466237355944,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.3202192236937,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2401,17.6880083122319,16.2761792612818,24.0141088026942,NaN,NaN,NaN,18.2702269583,NaN,NaN,NaN,NaN,NaN,15.7322519775711,NaN,NaN,14.2576328373788,NaN,15.6815933961842,NaN,NaN,14.6776845824308,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.8972370102832,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2701,18.2022795571178,NaN,24.4680192304225,NaN,NaN,17.8553838273753,18.9314503677906,NaN,NaN,NaN,NaN,NaN,16.1153866813551,NaN,NaN,14.7865788339788,NaN,16.2596365714572,NaN,NaN,14.9710650938213,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12.6253330904219,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3001,18.6932473987741,NaN,24.649526311306,NaN,NaN,18.5671819755053,19.645390831398,NaN,NaN,NaN,NaN,NaN,16.6574557853992,NaN,NaN,15.1038245852315,NaN,16.9050673347177,NaN,NaN,15.383724572839,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.3659358913237,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3301,19.0018423244282,NaN,24.9677373680495,NaN,NaN,19.1451433758864,20.4042853465061,NaN,NaN,NaN,NaN,NaN,17.4194304728442,NaN,NaN,15.6871597929691,NaN,17.406075247625,NaN,NaN,15.8793146574483,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.9576571647968,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3601,19.940804626758,NaN,25.0379793404361,NaN,NaN,18.9457339584896,21.7470850689778,NaN,NaN,NaN,NaN,NaN,17.7650255411993,NaN,NaN,NaN,NaN,17.7579324236926,NaN,NaN,16.079224689825,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.7781486279611,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3901,20.4240665333295,NaN,25.7648302149209,NaN,NaN,19.5391592710282,22.3711892244375,NaN,NaN,NaN,NaN,NaN,18.4430193841449,NaN,NaN,16.4223182384633,NaN,18.344045751533,NaN,NaN,16.6792186488932,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.6349150909928,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4201,20.864650961135,NaN,26.3040873354537,NaN,NaN,20.1614857387133,23.199701887445,NaN,NaN,NaN,NaN,NaN,18.8741455536085,NaN,NaN,16.9776279195786,NaN,18.8326938608752,NaN,NaN,17.0668333500971,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.5459494790613,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4501,21.357428925199,NaN,26.8110653327714,NaN,NaN,20.7548498899832,24.0867168024015,NaN,NaN,NaN,NaN,NaN,19.6954706600335,NaN,NaN,17.3909254593471,NaN,19.1406081439093,NaN,NaN,17.6155982146799,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17.472877476251,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
