Epoch,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,G14,G15,G16,G17,G18,G19,G20,G21,G22,G23,G24,G25,G26,G27,G28,G29,G30,G31,G32,C11,C12,C14,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C32,C33,C34,C35,C36,C37,C41,C42,C06,C07,C08,C09,C10,C13,C38,C39
1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
301,13.9057432617484,13.7959020568456,NaN,NaN,NaN,NaN,13.8109991412895,NaN,14.6530285007534,NaN,NaN,NaN,12.5673378210922,NaN,NaN,13.6308707108894,NaN,13.4983748111343,NaN,NaN,12.6993140919929,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.309687759279,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601,14.5245161760743,14.301059003899,NaN,NaN,NaN,NaN,14.5936650848804,NaN,NaN,NaN,NaN,NaN,13.3149926491259,NaN,NaN,14.2995513909406,NaN,14.3114730737726,NaN,NaN,12.9912115304747,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12.0460536005643,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
901,15.0823074263596,14.8423573089152,NaN,NaN,NaN,NaN,15.3740163885412,NaN,NaN,NaN,NaN,NaN,14.1543181313934,NaN,NaN,14.8069924585928,NaN,15.0568114779057,NaN,NaN,13.4368203815763,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12.775707482641,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1201,15.6521972414642,15.350090090761,23.4346580041493,NaN,NaN,NaN,16.1596610022533,NaN,NaN,NaN,NaN,NaN,14.8256700720572,NaN,NaN,15.1927500419155,NaN,15.6676839844559,NaN,NaN,14.1204322080642,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.303933870261,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1501,16.2244956372397,15.8679057927404,23.8647299725288,NaN,NaN,NaN,16.9051092948868,NaN,NaN,NaN,NaN,NaN,15.575753261455,NaN,NaN,15.4942670226843,NaN,16.2792399420707,NaN,NaN,14.8669882511695,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.8469144154312,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1801,16.6937680586947,16.296592560043,24.0137205868677,NaN,NaN,NaN,17.6782320236413,NaN,NaN,NaN,NaN,NaN,16.1354007074338,NaN,NaN,15.6739851140087,NaN,16.9484116171091,NaN,NaN,15.2332796470264,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.4525967530113,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2101,17.2984035146223,16.6560255925578,24.4159475378825,NaN,NaN,19.1196406000678,18.5158979899303,NaN,NaN,NaN,NaN,NaN,16.5953824538979,NaN,NaN,16.1475071727338,NaN,NaN,NaN,NaN,15.9319887995594,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.8076894841006,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2401,17.6561982182281,16.9777139785626,24.9219831481607,NaN,NaN,19.6429220765554,19.2613308922776,NaN,NaN,NaN,NaN,NaN,16.8278217931551,NaN,NaN,16.5480520438663,NaN,18.1216833592493,NaN,NaN,16.3380293092166,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.4621305275561,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2701,18.1530472692378,17.2316909934713,25.3360551992616,NaN,NaN,20.2545874084908,19.851295977563,NaN,NaN,NaN,NaN,NaN,17.3240707961922,NaN,NaN,16.7976081365437,NaN,18.7272942829846,NaN,NaN,16.5109820177661,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.1614241712749,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3001,18.8612650079566,NaN,25.5267057276164,NaN,NaN,20.9732416659027,20.6105365798249,NaN,NaN,NaN,NaN,NaN,17.767112925306,NaN,NaN,17.3244265757304,NaN,19.2075287103149,NaN,NaN,16.781047715523,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.8810585679631,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3301,19.5193785272728,NaN,26.0527664688887,NaN,NaN,21.6288216462126,21.414933711259,NaN,NaN,NaN,NaN,NaN,18.4006665472977,NaN,NaN,17.8563863832393,NaN,19.6997388081336,NaN,NaN,17.5091357299471,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17.7578316882886,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3601,20.6532003040565,NaN,26.2795398572045,NaN,NaN,20.892082183357,22.7911278363175,NaN,NaN,NaN,NaN,NaN,18.5954169858532,NaN,NaN,18.3697353985396,NaN,20.1219527787678,NaN,NaN,17.56607060046,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18.7094491057676,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
