Epoch,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,G14,G15,G16,G17,G18,G19,G20,G21,G22,G23,G24,G25,G26,G27,G28,G29,G30,G31,G32,C11,C12,C14,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C32,C33,C34,C35,C36,C37,C41,C42,C06,C07,C08,C09,C10,C13,C38,C39
1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
301,17.7639262092212,16.7684192223623,19.6556555913411,NaN,NaN,11.5170336231462,15.7396171803118,NaN,12.9812900962477,NaN,NaN,NaN,13.4764545210469,NaN,NaN,12.7110648902221,NaN,11.5216146419165,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12.2982579096425,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601,18.6153708260094,17.40634744352,20.5546978515048,NaN,NaN,12.0447894691178,16.6503444341711,NaN,13.863799349979,NaN,NaN,NaN,14.3191362540522,NaN,NaN,13.578737401741,NaN,12.4097839049692,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.1274683061022,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
901,19.2525654764301,18.04822917476,21.811570779713,NaN,NaN,12.9749784257175,17.389894090583,NaN,14.8758032187394,NaN,NaN,NaN,15.2890008946451,NaN,NaN,14.3731037178357,NaN,13.3166716244775,NaN,NaN,13.4029495592834,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.8646045266296,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1201,19.9571903824853,18.7085077711349,22.6509767590782,NaN,NaN,13.8179038871406,18.0401460612506,NaN,15.8829983976334,NaN,NaN,NaN,16.2764620659622,NaN,NaN,15.1368255602967,NaN,14.2893357562622,NaN,NaN,14.3090950122865,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.5931876847917,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1501,20.5446925821747,NaN,23.5694682162946,NaN,NaN,14.6451258647434,NaN,NaN,16.4161386830843,NaN,NaN,NaN,17.1450144615616,NaN,NaN,15.8997019744659,NaN,15.172494165387,NaN,NaN,15.1484867765356,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.3861392092694,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1801,20.9523008249861,NaN,24.7350263413807,NaN,NaN,15.7509636736513,19.3670946438043,NaN,17.1966973767466,NaN,NaN,NaN,17.8861361468355,NaN,NaN,16.5621479859823,NaN,16.0925613222551,NaN,NaN,16.056644472849,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.2826583218108,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2101,21.5119438414881,NaN,25.4824702840144,NaN,NaN,16.6471700539107,20.1268486597209,NaN,18.3443528480283,NaN,NaN,NaN,18.6933271202734,NaN,NaN,17.3469478740639,NaN,17.1175996964562,NaN,NaN,16.9682378132679,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17.030712352519,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2401,21.9517454029367,NaN,26.3288222764691,NaN,NaN,17.4699674606735,21.0218097546912,NaN,19.5668934129459,NaN,NaN,NaN,19.5088557908754,NaN,NaN,18.0699016181442,NaN,17.8660681395613,NaN,NaN,17.7165161457912,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17.7936985646189,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2701,22.5556832943341,NaN,27.0366321078512,NaN,NaN,18.2414888780916,21.6908489626295,NaN,20.3935019241374,NaN,NaN,NaN,20.3523265342268,NaN,NaN,18.7939709073746,NaN,18.7100211890146,NaN,NaN,18.3680649359161,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18.5198857587812,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
