Epoch,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,G14,G15,G16,G17,G18,G19,G20,G21,G22,G23,G24,G25,G26,G27,G28,G29,G30,G31,G32,C11,C12,C14,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C32,C33,C34,C35,C36,C37,C41,C42,C06,C07,C08,C09,C10,C13,C38,C39
1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
301,14.8326686891674,13.8671694686488,NaN,NaN,NaN,NaN,12.4901874339622,NaN,12.6630392282069,NaN,NaN,NaN,11.954143146959,NaN,NaN,9.75862021370957,NaN,10.2950701163934,NaN,NaN,11.4271591622444,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.80611747910778,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601,15.5233718612857,14.4481026083861,NaN,NaN,NaN,NaN,13.2248154392833,NaN,13.3927417923393,NaN,NaN,NaN,12.3195785057369,NaN,NaN,10.507949419108,NaN,11.1124040494103,NaN,NaN,12.0507307150802,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.5703427505608,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
901,16.0487896164323,14.9162935017104,NaN,NaN,NaN,NaN,13.8165188647652,NaN,NaN,NaN,NaN,NaN,12.7930167705389,NaN,NaN,11.279282520021,NaN,11.7528494111376,NaN,NaN,12.4509774575631,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.2108976656213,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1201,16.3971155523135,15.3489327542489,22.2501024429916,NaN,NaN,13.3574140208942,14.5852699329219,NaN,NaN,NaN,NaN,NaN,13.6999820016516,NaN,NaN,11.8572967506289,NaN,12.5498346148144,NaN,NaN,13.0284628280157,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.8774134572788,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1501,16.669421047408,15.8601142089292,22.6274247025561,NaN,NaN,14.3938499059906,15.2416025426156,NaN,NaN,NaN,NaN,NaN,14.579099606202,NaN,NaN,12.3892412712229,NaN,13.3241705512192,NaN,NaN,13.5538411220814,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12.4816829094034,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1801,17.0486102937624,16.4370955403361,22.8809407533608,NaN,NaN,15.2264930632365,16.0716762218042,NaN,NaN,NaN,NaN,NaN,15.2030970859534,NaN,NaN,12.9204336365115,NaN,14.0916907084393,NaN,NaN,14.2365982983564,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.1190388101586,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2101,17.4464461290337,16.8657801178457,23.4062009389199,NaN,NaN,16.1832659594086,16.8595090919719,NaN,NaN,NaN,NaN,NaN,15.5868754197221,NaN,NaN,13.280671796998,NaN,14.8151457349192,NaN,NaN,15.0270700449025,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.5988696936862,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2401,17.8429727993058,NaN,23.9776384817029,NaN,NaN,16.9280013345947,17.6916451799068,NaN,NaN,NaN,NaN,NaN,16.0121798153693,NaN,NaN,13.6344784717489,NaN,15.4407642220461,NaN,NaN,15.465673162753,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.3378814029114,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2701,18.2663925181843,NaN,24.5250486330923,NaN,NaN,17.321731634555,18.4727915761025,NaN,NaN,NaN,NaN,NaN,16.5365112306671,NaN,NaN,14.1757271905057,NaN,16.0122130315378,NaN,NaN,15.8357881945543,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.019133746647,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
