Epoch,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,G14,G15,G16,G17,G18,G19,G20,G21,G22,G23,G24,G25,G26,G27,G28,G29,G30,G31,G32,C11,C12,C14,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C32,C33,C34,C35,C36,C37,C41,C42,C06,C07,C08,C09,C10,C13,C38,C39
1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
301,16.5654594576444,15.612117263959,18.8846900910861,NaN,NaN,9.5810238678507,14.4955067287964,NaN,9.01208103945272,NaN,NaN,NaN,12.3242244127748,NaN,NaN,11.4577606390982,NaN,10.228859343051,NaN,NaN,10.6166390067822,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.8531872619455,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601,17.2042180755225,16.0000797267675,19.9825887667886,NaN,NaN,10.576933661056,15.1792272895538,NaN,9.77449156545952,NaN,NaN,NaN,13.05190573961,NaN,NaN,12.4050927591917,NaN,11.1557284458354,NaN,NaN,11.4038548171271,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.6703035964552,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
901,17.8711046708014,16.4886252770214,20.8743331906845,NaN,NaN,11.3998635847427,15.7960007248348,NaN,10.7746321988758,NaN,NaN,NaN,13.8811328614574,NaN,NaN,13.1736831774945,NaN,12.0008926943444,NaN,NaN,12.1570741757809,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12.5123330901431,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1201,18.4148891950229,17.0787345568014,21.9193198618884,NaN,NaN,12.5219454110455,16.5303508040912,NaN,11.8277103599887,NaN,NaN,NaN,14.6634376484593,NaN,NaN,13.9920981440125,NaN,12.8774877531276,NaN,NaN,13.1356997360219,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.3329481075757,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1501,19.0120387354812,NaN,22.8152027413257,NaN,NaN,13.4543138149597,NaN,NaN,12.8615253714482,NaN,NaN,NaN,15.4829808449829,NaN,NaN,14.894302269521,NaN,13.7383972247168,NaN,NaN,14.2052970476761,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.0219211572905,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1801,19.6732028798261,NaN,23.7254302526097,NaN,NaN,14.4885081123253,17.9779862451408,NaN,13.9566439260208,NaN,NaN,NaN,16.2913639756631,NaN,NaN,15.5165175481367,NaN,14.5436068556345,NaN,NaN,14.9750137273513,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.7200439501761,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2101,20.2330398607311,NaN,24.5080061612065,NaN,NaN,15.1876248354025,18.6154928596689,NaN,23.0689463038482,NaN,NaN,NaN,16.9344410417527,NaN,NaN,16.2883952532163,NaN,15.3089825286414,NaN,NaN,15.5541779120644,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.4022729448519,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2401,20.7723524327584,NaN,25.1538722197667,NaN,NaN,16.0610702388267,19.311016109029,NaN,NaN,NaN,NaN,NaN,17.7948314874338,NaN,NaN,16.8941784607027,NaN,16.1417284569653,NaN,NaN,16.367156975408,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.1122870943317,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2701,21.2797034135782,NaN,25.574383943938,NaN,NaN,16.7895796763204,20.1485363286382,NaN,NaN,NaN,NaN,NaN,18.5271106909093,NaN,NaN,17.2893275905694,NaN,16.7989052629608,NaN,NaN,17.150164414685,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.7995574321025,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
