Epoch,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,G14,G15,G16,G17,G18,G19,G20,G21,G22,G23,G24,G25,G26,G27,G28,G29,G30,G31,G32,C11,C12,C14,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C32,C33,C34,C35,C36,C37,C41,C42,C06,C07,C08,C09,C10,C13,C38,C39
1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
301,13.2884868189285,14.9007541391301,NaN,NaN,NaN,NaN,14.8815831052691,NaN,13.6567813094498,NaN,NaN,NaN,12.2377526957495,NaN,NaN,12.6542964361985,NaN,10.9097321083652,NaN,NaN,12.7465827282248,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12.7009468867128,NaN,NaN,-0.403427513687999,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.582067447932,NaN,NaN,NaN,NaN,13.7230417797501,56.5190384833418,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-33.0327165947575
601,13.8756950032284,15.4541094104298,21.8983805220685,NaN,NaN,NaN,15.5533113718718,NaN,14.6134593054542,NaN,NaN,NaN,12.7035196255571,NaN,NaN,13.3620123085755,NaN,11.7649993749148,NaN,NaN,13.3127065298354,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.4994202043149,NaN,NaN,0.870851088343517,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.3917464386266,NaN,NaN,7.62825318022319,NaN,NaN,NaN,NaN,14.3336244890298,56.6097917410915,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-32.8522278059372
901,14.230106758424,16.0204960313826,22.5432518960856,NaN,NaN,NaN,16.2396879580224,NaN,15.5745161395746,NaN,NaN,NaN,13.6223014174417,NaN,NaN,14.0003742621249,NaN,12.6580093249662,NaN,NaN,13.8791268964733,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.0394246619191,NaN,NaN,2.04000973926863,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.615047514955,NaN,NaN,8.57801369783197,NaN,NaN,NaN,NaN,14.9264732525279,56.7869696976818,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-32.8078434489688
1201,14.594436704381,16.5404351023206,23.1878939509619,NaN,NaN,14.2431682789721,16.9225876121132,NaN,NaN,NaN,NaN,NaN,14.57010123803,NaN,NaN,14.6057089473256,NaN,13.4061003283717,NaN,NaN,14.5376853634357,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.6632217777058,NaN,NaN,3.14393165240009,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.093879474162,NaN,NaN,9.34362999783541,NaN,NaN,NaN,NaN,15.4861232973433,56.8829337874111,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-33.0380964001676
1501,15.2013411482579,16.9642831864828,23.6230024586254,NaN,NaN,15.3065819181368,17.7315002507964,NaN,NaN,NaN,NaN,NaN,15.2501094290647,NaN,NaN,15.0984248911377,NaN,14.0576153608003,NaN,NaN,15.3422277003646,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.2709861102478,NaN,NaN,4.15335413621952,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.7783999714527,NaN,NaN,9.88083530924233,NaN,NaN,NaN,NaN,16.0755962765912,57.1378521213852,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-32.9213250426054
1801,15.6215640422579,17.5113782296263,24.108358471373,NaN,NaN,16.0375915888679,18.3380071442513,NaN,NaN,NaN,NaN,NaN,15.6592286030315,NaN,NaN,15.5414475212318,NaN,14.7553096168468,NaN,NaN,16.1692081253761,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.9251317557014,NaN,NaN,5.27118067410385,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.7423033961004,NaN,NaN,10.3492486975387,NaN,NaN,NaN,NaN,16.7394834737892,57.3829925278058,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-32.6936955129002
2101,16.0402776265186,17.8843432711399,24.3822035941974,NaN,NaN,17.1104029724147,19.0107918368898,NaN,NaN,NaN,NaN,NaN,16.1096864260124,NaN,NaN,15.9821879672401,NaN,15.4905680254343,NaN,NaN,16.6474656833,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.7407387262489,NaN,NaN,6.37572065962726,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.1487559815492,NaN,NaN,10.9462905892416,NaN,NaN,NaN,NaN,17.4612943356371,57.4246567463678,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-32.3251366936167
2401,16.5470129394223,NaN,24.8922245118817,NaN,NaN,17.8556603332774,19.8449586487885,NaN,NaN,NaN,NaN,NaN,16.620502632178,NaN,NaN,16.391331029525,NaN,16.088841913781,NaN,NaN,17.0140133097271,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17.4754286029241,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.5430391604395,NaN,NaN,11.7554552749779,NaN,NaN,NaN,NaN,18.0754472358541,57.5547531447743,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-32.0054888448131
2701,17.0243678219823,NaN,25.4131349423045,NaN,NaN,18.3754010330524,20.6119581175612,NaN,NaN,NaN,NaN,NaN,17.2916654794511,NaN,NaN,17.0557379360585,NaN,16.8227894802968,NaN,NaN,17.428087489361,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18.0627106754681,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.8969297156163,NaN,NaN,12.4837156533526,NaN,NaN,NaN,NaN,18.5320639912627,57.6752585990942,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-31.6581356609126
