Epoch,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,G14,G15,G16,G17,G18,G19,G20,G21,G22,G23,G24,G25,G26,G27,G28,G29,G30,G31,G32,C11,C12,C14,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C32,C33,C34,C35,C36,C37,C41,C42,C06,C07,C08,C09,C10,C13,C38,C39
1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
301,10.3151735346708,11.3271537552056,NaN,NaN,NaN,NaN,9.30028542011368,NaN,NaN,NaN,NaN,NaN,9.47890267131575,NaN,NaN,9.39181431830655,NaN,10.0906476048977,NaN,NaN,10.2663675769654,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.88814150970036,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601,10.7806818851586,11.7099307762854,NaN,NaN,NaN,NaN,10.3538039391569,NaN,NaN,NaN,NaN,NaN,9.92160261763961,NaN,NaN,10.1564209119454,NaN,10.8659755192652,NaN,NaN,10.7313213166412,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.60308280147231,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
901,11.3009772734707,12.0804369952726,20.6371287286135,NaN,NaN,NaN,11.2863481773328,NaN,NaN,NaN,NaN,NaN,10.4288263387824,NaN,NaN,10.6338915449627,NaN,11.6168475420356,NaN,NaN,10.9849479153403,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.33910053283505,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1201,11.7980660039939,12.5434479830338,20.9738912329781,NaN,NaN,NaN,11.997664088637,NaN,NaN,NaN,NaN,NaN,11.0941257881371,NaN,NaN,11.1590096014753,NaN,12.2321933189521,NaN,NaN,11.197394907054,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.0615805468288,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1501,12.2206401895892,13.049878415269,21.3552579757866,NaN,NaN,NaN,12.639763092379,NaN,NaN,NaN,NaN,NaN,11.8054958093739,NaN,NaN,11.5642114342644,NaN,12.9252781806808,NaN,NaN,11.4042849909783,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.71748335858216,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1801,12.8135675027873,13.4299736791002,22.0157310663351,NaN,NaN,15.6516034207525,13.2705583748664,NaN,NaN,NaN,NaN,NaN,12.440379216309,NaN,NaN,12.0445691604495,NaN,13.6048003588103,NaN,NaN,12.075342294617,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.4164637433574,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2101,13.4862787677776,13.8431298849968,22.3893557055754,NaN,NaN,16.1066317515765,13.9226604503797,NaN,NaN,NaN,NaN,NaN,12.7869533719014,NaN,NaN,12.3075093534311,NaN,14.1914541884051,NaN,NaN,12.8782036562452,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.8530100724917,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2401,13.9802709601168,14.3060668057047,22.4563288257258,NaN,NaN,16.5982246179507,14.6422253998186,NaN,NaN,NaN,NaN,NaN,13.4380002770246,NaN,NaN,12.6522762800218,NaN,14.6324374859024,NaN,NaN,13.3646285288029,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.2901341948028,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2701,14.3796571926748,14.7039514071964,22.7385363932039,NaN,NaN,17.3149828973898,15.3427203265335,NaN,NaN,NaN,NaN,NaN,13.975752680604,NaN,NaN,12.9939587000626,NaN,15.027075830902,NaN,NaN,13.4111638906032,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.8078502125901,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
